Graph
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
27.699863,0.008000,0.156000,0.004800
27.749863,0.003000,0.149000,0.004800
27.799862,-0.005000,0.133000,0.004800
27.849861,-0.014000,0.118000,0.004800
27.899860,-0.031000,0.085000,0.004800
27.949860,-0.040000,0.069000,0.004800
27.999859,-0.050000,0.052000,0.004800
28.049858,-0.057000,0.039000,0.004800
28.099857,-0.066000,0.022000,0.004800
28.149857,-0.080000,-0.016000,0.004800
28.199856,-0.080000,-0.016000,0.004800
28.249855,-0.088000,-0.035000,0.004800
28.299854,-0.090000,-0.051000,0.004800
28.349854,-0.098000,-0.065000,0.004800
28.399853,-0.098000,-0.071000,0.004800
28.449852,-0.100000,-0.082000,0.004800
28.499851,-0.103000,-0.087000,0.004800
28.549850,-0.103000,-0.099000,0.004800
28.599850,-0.105000,-0.110000,0.004800
28.649849,-0.105000,-0.116000,0.004800
28.699848,-0.105000,-0.122000,0.004800
28.749847,-0.105000,-0.128000,0.004800
28.799847,-0.105000,-0.134000,0.004800
28.849846,-0.105000,-0.146000,0.004800
28.899845,-0.102000,-0.154000,0.004800
28.949844,-0.104000,-0.165000,0.004800
28.999844,-0.099000,-0.167000,0.004800
29.049843,-0.097000,-0.175000,0.004800
29.099842,-0.094000,-0.176000,0.004800
29.149841,-0.094000,-0.176000,0.004800
29.199841,-0.094000,-0.176000,0.004800
29.249840,-0.094000,-0.176000,0.004800
29.299839,-0.094000,-0.176000,0.004800
29.349838,-0.094000,-0.176000,0.004800
29.399837,-0.094000,-0.176000,0.004800
29.449837,-0.094000,-0.176000,0.004800
29.499836,-0.094000,-0.176000,0.004800
29.549835,-0.091000,-0.172000,0.004800
29.599834,-0.086000,-0.161000,0.004800
29.649834,-0.075000,-0.141000,0.004800
29.699833,-0.063000,-0.116000,0.004800
29.749832,-0.053000,-0.097000,0.004800
29.799831,-0.040000,-0.073000,0.004800
29.849831,-0.033000,-0.053000,0.004800
29.899830,-0.027000,-0.033000,0.004800
29.949829,-0.025000,-0.012000,0.004800
29.999828,-0.021000,0.013000,0.004800
30.049828,-0.021000,0.029000,0.004800
30.099827,-0.018000,0.048000,0.004800
30.149826,-0.018000,0.064000,0.004800
30.199825,-0.015000,0.077000,0.004800
30.249825,-0.013000,0.092000,0.004800
30.299824,-0.015000,0.098000,0.004800
30.349823,-0.014000,0.107000,0.004800
30.399822,-0.014000,0.117000,0.004800
30.449821,-0.013000,0.125000,0.004800
30.499821,-0.017000,0.132000,0.004800
30.549820,-0.017000,0.142000,0.004800
30.599819,-0.018000,0.152000,0.004800
30.649818,-0.021000,0.157000,0.004800
30.699818,-0.023000,0.163000,0.004800
30.749817,-0.026000,0.164000,0.004800
30.799816,-0.028000,0.165000,0.004800
30.849815,-0.033000,0.167000,0.004800
30.899815,-0.040000,0.170000,0.004800
